unit,cycle,op1,op2,op3,s2,s3,s4,s7,s8
1,119,0.0013,0.0005,100.0,642.67,1596.8,1404.46,553.77,2388.1
1,120,-0.0024,0.0005,100.0,642.81,1593.78,1407.68,553.66,2388.1
1,121,-0.0033,0.0004,100.0,642.63,1593.56,1411.9,553.7,2388.07
1,122,0.0026,-1e-04,100.0,643.3,1593.68,1413.97,553.43,2388.15
1,123,0.0016,-0.0002,100.0,643.39,1586.66,1403.04,552.64,2388.12
1,124,0.0025,0.0002,100.0,642.48,1587.14,1402.28,552.26,2388.13
1,125,-0.0004,0.0005,100.0,642.96,1585.47,1406.42,552.44,2388.13
1,126,0.0016,1e-04,100.0,642.49,1582.64,1418.5,553.72,2388.05
1,127,-0.001,0.0002,100.0,642.99,1586.9,1399.49,553.81,2388.09
1,128,-0.0006,0.0003,100.0,642.47,1593.87,1407.06,552.74,2388.13
1,129,-0.0033,0.0003,100.0,642.41,1591.33,1408.42,552.42,2388.09
1,130,-0.0007,0.0002,100.0,642.7,1585.9,1412.25,552.66,2388.13
1,131,0.0002,-1e-04,100.0,643.01,1585.78,1413.25,553.7,2388.11
1,132,0.0032,-1e-04,100.0,643.19,1596.06,1405.76,553.16,2388.17
1,133,0.0032,-0.0002,100.0,642.45,1592.64,1410.11,553.82,2388.11
1,134,-0.0014,0.0,100.0,642.85,1583.62,1402.67,553.2,2388.11
1,135,-0.0017,1e-04,100.0,642.45,1585.55,1406.83,553.09,2388.14
1,136,0.003,-1e-04,100.0,642.84,1584.72,1404.39,554.18,2388.06
1,137,-0.0011,0.0,100.0,642.43,1594.69,1405.15,553.39,2388.14
1,138,-0.0011,1e-04,100.0,642.79,1589.82,1413.34,552.91,2388.11
1,139,-0.0014,0.0005,100.0,643.11,1592.28,1412.6,553.25,2388.06
1,140,-0.0006,-1e-04,100.0,643.05,1590.89,1408.36,552.15,2388.17
1,141,-0.0023,0.0005,100.0,642.39,1590.02,1415.25,553.45,2388.13
1,142,0.0026,0.0002,100.0,642.51,1595.29,1413.42,553.11,2388.1
1,143,-0.0005,-0.0003,100.0,642.77,1593.1,1404.21,553.62,2388.13
1,144,0.0025,-0.0004,100.0,643.09,1591.89,1405.76,553.77,2388.17
1,145,-0.0004,-1e-04,100.0,642.95,1594.92,1409.63,553.03,2388.13
1,146,0.0002,-0.0003,100.0,642.72,1586.75,1408.82,552.6,2388.12
1,147,0.0047,1e-04,100.0,642.25,1594.85,1409.96,553.09,2388.14
1,148,0.001,-0.0004,100.0,643.02,1590.03,1411.89,552.84,2388.16
1,149,0.0025,0.0004,100.0,642.9,1592.78,1410.7,552.54,2388.17
1,150,0.001,-0.0003,100.0,643.06,1589.01,1409.22,553.57,2388.12
1,151,-0.0019,-1e-04,100.0,642.82,1592.39,1411.94,552.41,2388.14
1,152,0.0009,-1e-04,100.0,642.67,1598.6,1420.83,552.62,2388.18
1,153,0.0011,-0.0004,100.0,642.99,1589.17,1414.56,552.68,2388.14
1,154,-0.0012,0.0,100.0,642.81,1597.03,1416.07,552.57,2388.14
1,155,-0.0033,0.0002,100.0,642.83,1590.4,1414.89,552.89,2388.16
1,156,-0.002,0.0003,100.0,643.04,1585.61,1421.23,553.24,2388.26
1,157,-0.0018,0.0002,100.0,642.2,1598.04,1412.47,552.32,2388.14
1,158,-0.0023,1e-04,100.0,642.88,1596.82,1410.09,553.19,2388.2
1,159,-0.0006,1e-04,100.0,642.89,1589.54,1420.37,552.18,2388.13
1,160,-0.0006,-0.0004,100.0,643.45,1590.65,1418.08,551.87,2388.21
1,161,0.0008,1e-04,100.0,643.0,1594.2,1417.31,552.8,2388.18
1,162,-0.0005,0.0004,100.0,643.15,1592.22,1423.48,552.68,2388.15
1,163,0.0003,-0.0004,100.0,642.85,1600.54,1421.09,552.41,2388.2
1,164,0.0005,-0.0002,100.0,643.17,1598.96,1416.76,551.9,2388.17
1,165,0.001,0.0004,100.0,642.76,1597.03,1408.09,552.79,2388.19
1,166,-0.0022,-0.0003,100.0,643.34,1596.72,1422.37,552.13,2388.22
1,167,0.0012,0.0003,100.0,643.02,1593.83,1414.72,552.57,2388.23
1,168,-0.0043,0.0002,100.0,642.68,1591.19,1415.7,552.09,2388.22
1,169,-0.0017,0.0004,100.0,643.2,1590.16,1418.05,552.71,2388.25
1,170,-0.0017,-0.0002,100.0,642.92,1592.71,1417.41,552.02,2388.21
1,171,0.0004,-0.0003,100.0,643.26,1592.06,1414.99,552.71,2388.2
1,172,-0.0014,-0.0003,100.0,643.33,1591.71,1413.73,551.69,2388.24
1,173,-0.0032,0.0002,100.0,642.97,1590.69,1425.27,552.13,2388.22
1,174,-1e-04,-0.0002,100.0,642.64,1599.81,1422.58,552.32,2388.22
1,175,1e-04,0.0002,100.0,643.61,1603.29,1422.52,551.64,2388.23
1,176,-0.002,-0.0003,100.0,642.86,1592.27,1422.73,551.91,2388.23
1,177,-0.0038,-0.0003,100.0,643.79,1602.02,1423.99,551.93,2388.25
1,178,-1e-04,0.0002,100.0,643.38,1605.33,1424.65,552.18,2388.23
1,179,0.0023,-0.0003,100.0,642.86,1592.56,1429.45,551.57,2388.26
1,180,-0.0024,0.0,100.0,643.58,1599.87,1417.14,552.91,2388.21
1,181,-0.0006,0.0005,100.0,643.44,1596.71,1420.64,551.83,2388.23
1,182,-0.001,0.0003,100.0,644.21,1602.08,1426.62,551.9,2388.26
1,183,1e-04,1e-04,100.0,643.24,1597.23,1419.03,551.38,2388.21
1,184,0.0004,0.0003,100.0,644.07,1605.44,1432.52,551.0,2388.24
1,185,0.0008,1e-04,100.0,643.8,1603.46,1424.4,551.64,2388.29
1,186,0.0027,-0.0003,100.0,643.51,1595.16,1426.3,552.57,2388.21
1,187,-0.0047,-0.0,100.0,643.32,1592.1,1427.27,551.08,2388.29
1,188,-0.0067,0.0003,100.0,643.75,1602.38,1422.78,551.94,2388.31
1,189,-0.0006,0.0002,100.0,644.18,1596.17,1428.01,550.7,2388.27
1,190,-0.0027,1e-04,100.0,643.64,1599.22,1425.95,551.29,2388.29
1,191,-0.0,-0.0004,100.0,643.34,1602.36,1425.77,550.92,2388.28
1,192,0.0009,-0.0,100.0,643.54,1601.41,1427.2,551.25,2388.32
2,1,-0.0018,0.0006,100.0,641.89,1583.84,1391.28,554.53,2388.01
2,2,0.0043,-0.0003,100.0,641.82,1587.05,1393.13,554.77,2387.98
2,3,0.0018,0.0003,100.0,641.55,1588.32,1398.96,555.14,2388.04
2,4,0.0035,-0.0004,100.0,641.68,1584.15,1396.08,554.25,2387.98
2,5,0.0005,0.0004,100.0,641.73,1579.03,1402.52,555.12,2388.03
2,6,-0.001,0.0004,100.0,641.3,1577.5,1396.76,554.98,2388.04
2,7,1e-04,-0.0002,100.0,642.03,1587.49,1400.65,554.84,2388.05
2,8,0.0015,-0.0004,100.0,642.55,1590.41,1395.39,554.65,2388.01
2,9,0.0017,-0.0004,100.0,641.98,1581.99,1395.01,554.69,2388.02
2,10,-0.0045,0.0002,100.0,641.99,1586.37,1394.86,554.63,2387.99
2,11,0.0006,0.0004,100.0,642.26,1589.21,1401.29,554.7,2388.01
2,12,0.0002,0.0006,100.0,641.64,1579.99,1401.9,554.57,2387.98
2,13,0.0007,0.0005,100.0,641.78,1586.77,1401.53,554.69,2387.94
2,14,-0.0024,-0.0004,100.0,641.66,1584.04,1395.46,554.47,2388.01
2,15,-0.0012,-0.0003,100.0,642.21,1579.84,1402.11,554.17,2388.02
2,16,-0.001,0.0003,100.0,641.81,1581.99,1393.46,554.53,2387.99
2,17,0.0003,-1e-04,100.0,642.43,1583.58,1390.27,553.62,2388.04
2,18,0.0014,1e-04,100.0,641.95,1588.43,1400.25,554.83,2388.0
2,19,0.0025,1e-04,100.0,641.75,1576.84,1401.77,555.25,2388.02
2,20,0.0042,-0.0004,100.0,642.34,1582.94,1394.38,554.64,2388.0
2,21,-0.0023,1e-04,100.0,642.05,1579.51,1392.28,554.72,2388.03
2,22,0.0024,0.0006,100.0,642.16,1580.18,1397.67,554.35,2387.96
2,23,-0.0013,0.0003,100.0,642.37,1580.89,1387.5,554.69,2387.96
2,24,-0.0019,-0.0,100.0,641.99,1580.97,1398.67,553.5,2387.98
2,25,0.0063,1e-04,100.0,641.81,1585.38,1396.62,554.14,2388.0
2,26,-0.0011,0.0003,100.0,641.87,1575.38,1392.3,554.03,2387.98
2,27,0.0006,0.0005,100.0,642.12,1585.44,1402.31,555.16,2388.03
2,28,0.0037,0.0005,100.0,642.04,1581.6,1397.45,554.77,2387.99
2,29,-0.0032,-0.0003,100.0,642.08,1583.78,1398.08,554.75,2388.0
2,30,0.0012,0.0,100.0,641.78,1590.32,1395.07,554.62,2387.98
2,31,-0.0009,0.0005,100.0,641.97,1579.86,1390.94,554.8,2388.0
2,32,0.0013,-1e-04,100.0,641.58,1584.52,1391.11,554.56,2387.98
2,33,-0.0032,0.0004,100.0,641.79,1585.17,1396.15,553.62,2388.01
2,34,0.0042,0.0003,100.0,642.12,1584.08,1394.24,555.09,2388.0
2,35,0.002,0.0002,100.0,641.37,1575.73,1392.55,554.73,2388.02
2,36,0.0013,0.0004,100.0,641.27,1581.56,1397.13,554.59,2388.02
2,37,0.005,0.0005,100.0,642.1,1585.63,1396.29,555.01,2388.04
2,38,0.0013,0.0005,100.0,642.22,1585.15,1397.75,554.21,2388.0
2,39,-0.0018,0.0005,100.0,642.0,1585.69,1391.49,554.05,2388.0
2,40,0.0005,0.0005,100.0,642.02,1582.69,1398.38,554.07,2388.03
2,41,0.0015,0.0006,100.0,642.41,1578.97,1398.74,554.34,2388.04
2,42,0.0016,0.0005,100.0,642.27,1579.21,1392.13,553.98,2387.97
2,43,0.0027,0.0,100.0,642.02,1580.59,1391.6,554.14,2388.04
2,44,0.0003,0.0003,100.0,642.01,1584.33,1398.69,554.16,2388.04
2,45,-0.0014,-0.0002,100.0,642.05,1586.41,1397.6,554.2,2388.05
2,46,0.0002,-0.0003,100.0,642.15,1575.45,1392.6,554.54,2388.0
2,47,0.0021,0.0003,100.0,642.4,1583.85,1396.46,554.96,2388.04
2,48,0.0006,-1e-04,100.0,642.09,1586.71,1397.95,554.67,2387.99
2,49,-0.0006,0.0005,100.0,642.85,1583.86,1396.5,554.04,2388.04
2,50,-0.0002,-0.0004,100.0,642.02,1577.86,1399.78,554.73,2388.0
2,51,0.0008,0.0003,100.0,642.03,1585.34,1393.06,555.02,2388.02
2,52,-0.001,-1e-04,100.0,641.52,1588.48,1401.66,554.76,2388.0
2,53,-0.0023,-1e-04,100.0,642.0,1584.9,1397.09,554.33,2388.05
2,54,0.0004,-0.0003,100.0,641.58,1583.46,1405.33,554.42,2388.01
2,55,-0.0035,-0.0004,100.0,642.33,1585.59,1387.16,554.54,2388.02
2,56,-0.0035,0.0002,100.0,641.84,1587.04,1388.97,554.72,2388.02
2,57,-0.0003,-1e-04,100.0,642.5,1584.13,1389.62,553.87,2388.05
2,58,-0.0,-0.0002,100.0,642.3,1582.93,1389.91,554.46,2388.03
2,59,0.0032,-0.0,100.0,642.48,1584.24,1397.95,554.6,2388.08
2,60,0.0014,-0.0002,100.0,642.09,1584.57,1396.84,554.06,2388.04
2,61,-0.0044,1e-04,100.0,642.41,1585.45,1399.71,555.08,2388.03
2,62,-0.0017,-1e-04,100.0,641.81,1577.87,1401.66,554.52,2388.03
2,63,-0.0014,0.0005,100.0,641.91,1575.83,1395.05,554.63,2388.0
2,64,-0.0,1e-04,100.0,641.66,1581.65,1401.46,554.93,2388.02
2,65,0.0008,0.0,100.0,641.7,1582.59,1395.4,554.28,2388.0
2,66,0.0005,-0.0002,100.0,642.26,1584.6,1394.01,554.11,2388.06
2,67,-0.0036,-1e-04,100.0,642.17,1587.63,1395.44,554.99,2388.1
2,68,0.0008,1e-04,100.0,642.5,1577.16,1399.27,554.07,2387.97
2,69,-0.0004,0.0,100.0,642.73,1586.47,1399.73,554.35,2388.01
2,70,0.0005,-0.0002,100.0,641.76,1593.24,1397.3,554.47,2388.05
2,71,-0.0004,0.0002,100.0,642.39,1586.68,1403.09,555.01,2388.0
2,72,-0.0007,-1e-04,100.0,642.48,1583.11,1393.85,554.54,2388.03
2,73,-0.0004,-1e-04,100.0,641.73,1586.57,1400.98,554.41,2388.01
2,74,-0.0013,1e-04,100.0,642.39,1584.04,1396.13,555.36,2388.01
2,75,0.0025,0.0004,100.0,641.64,1578.27,1390.64,555.45,2387.95
2,76,-0.0037,1e-04,100.0,642.01,1586.91,1399.66,554.05,2388.05
2,77,0.0003,0.0,100.0,641.97,1588.54,1395.38,554.06,2388.02
2,78,0.0004,-1e-04,100.0,642.44,1587.2,1394.24,554.83,2387.99
2,79,0.0021,0.0004,100.0,641.62,1585.59,1398.51,554.19,2388.0
2,80,0.0027,-0.0,100.0,641.37,1588.33,1394.0,554.94,2387.99
2,81,0.0006,-1e-04,100.0,641.72,1578.31,1390.12,555.25,2388.02
2,82,0.0035,-1e-04,100.0,641.86,1587.24,1402.78,554.17,2388.01
2,83,0.0,-0.0004,100.0,641.73,1585.18,1398.81,554.18,2388.07
2,84,-0.0037,-0.0004,100.0,642.41,1586.46,1402.26,554.86,2388.06
2,85,0.0002,0.0004,100.0,641.73,1588.31,1398.33,554.5,2387.97
2,86,0.0004,-0.0,100.0,641.85,1579.31,1399.12,554.51,2388.02
2,87,0.0019,-0.0002,100.0,642.36,1582.64,1399.51,554.77,2387.95
2,88,0.0007,-0.0002,100.0,642.23,1587.88,1398.17,554.71,2388.01
2,89,0.0017,0.0005,100.0,641.95,1584.62,1394.07,554.18,2388.0
2,90,0.0019,-0.0003,100.0,642.06,1580.77,1405.34,554.1,2387.98
2,91,-0.0007,-0.0002,100.0,642.09,1583.57,1399.47,553.79,2388.02
2,92,-0.0006,0.0005,100.0,642.36,1584.87,1399.17,554.28,2388.02
2,93,0.0019,-0.0004,100.0,642.21,1591.68,1392.48,553.92,2388.05
2,94,0.0,0.0005,100.0,642.1,1585.62,1395.39,554.53,2388.03
2,95,-0.0022,0.0002,100.0,642.56,1579.26,1402.79,553.99,2388.05
2,96,-0.0026,0.0006,100.0,642.42,1576.94,1399.59,554.4,2387.97
2,97,0.0008,1e-04,100.0,642.04,1586.12,1400.5,554.42,2388.02
2,98,-1e-04,0.0003,100.0,641.73,1587.84,1401.08,554.57,2388.04
2,99,-0.0034,-0.0004,100.0,642.04,1585.48,1400.97,554.43,2388.05
2,100,0.0076,-1e-04,100.0,642.04,1586.01,1402.72,554.48,2388.0
2,101,0.0031,-0.0,100.0,641.96,1582.66,1397.81,555.07,2387.98
2,102,0.0016,1e-04,100.0,642.44,1590.24,1407.05,554.44,2388.03
2,103,-0.0022,0.0002,100.0,642.05,1587.75,1392.16,554.44,2388.11
2,104,-0.0034,0.0002,100.0,642.41,1582.04,1397.31,554.91,2388.0
2,105,-0.005,0.0004,100.0,641.94,1585.65,1397.45,554.81,2388.02
2,106,0.0002,-0.0004,100.0,641.87,1584.61,1402.62,553.96,2388.06
2,107,0.0011,-1e-04,100.0,642.52,1581.7,1402.93,554.21,2387.96
2,108,0.0014,0.0004,100.0,642.24,1578.45,1396.25,554.29,2388.03
2,109,0.0014,0.0,100.0,642.12,1590.41,1392.9,553.72,2388.12
2,110,-0.0013,-0.0002,100.0,642.29,1583.3,1398.47,554.5,2388.07
2,111,0.0039,0.0,100.0,642.24,1576.85,1393.76,554.42,2387.99
2,112,-0.0023,-0.0002,100.0,642.49,1588.35,1397.2,554.33,2388.01
2,113,-0.003,0.0,100.0,641.95,1584.21,1404.74,554.07,2388.01
2,114,-0.0005,-0.0002,100.0,642.13,1576.56,1397.05,555.1,2388.01
2,115,-0.0041,-1e-04,100.0,642.16,1583.27,1401.33,554.37,2388.01
2,116,-0.001,0.0004,100.0,642.38,1577.87,1398.39,554.45,2387.97
2,117,-0.0031,-0.0,100.0,641.97,1583.84,1395.4,554.6,2388.02
2,118,-0.0013,0.0004,100.0,641.95,1580.49,1400.99,553.96,2388.01
2,119,0.0,-0.0002,100.0,642.67,1585.06,1401.87,554.32,2388.0
2,120,-1e-04,0.0004,100.0,642.01,1589.61,1394.39,554.42,2388.05
2,121,0.0027,0.0003,100.0,642.04,1580.19,1391.52,554.51,2387.96
2,122,0.0011,0.0003,100.0,642.08,1585.52,1405.27,553.82,2388.01
2,123,-0.001,-0.0004,100.0,642.11,1588.59,1403.23,554.31,2388.04
2,124,-0.0002,0.0004,100.0,642.37,1583.12,1399.26,554.58,2388.04
2,125,-0.0015,1e-04,100.0,642.71,1586.32,1397.94,554.81,2388.01
2,126,0.0006,0.0005,100.0,642.07,1587.45,1403.41,554.03,2387.96
2,127,-0.0002,-0.0004,100.0,642.26,1586.65,1400.81,554.08,2387.99
2,128,-0.0008,0.0,100.0,641.54,1592.2,1397.34,554.16,2388.01
2,129,0.0007,0.0004,100.0,641.66,1590.59,1400.25,554.6,2388.07
2,130,0.0035,-0.0003,100.0,642.06,1584.83,1409.98,554.42,2387.99
2,131,-1e-04,1e-04,100.0,641.96,1587.61,1394.26,554.88,2388.01
2,132,0.0002,0.0006,100.0,642.01,1586.66,1398.78,554.4,2388.13
2,133,-0.0016,-0.0004,100.0,642.84,1581.22,1393.87,554.21,2388.04
2,134,0.0026,1e-04,100.0,642.76,1586.44,1406.2,553.88,2388.02
2,135,0.0009,-0.0002,100.0,642.02,1580.12,1404.56,554.52,2388.01
2,136,0.001,-0.0003,100.0,642.06,1582.91,1402.67,554.5,2388.05
2,137,0.0044,-0.0004,100.0,642.46,1585.36,1406.79,554.42,2388.01
2,138,0.0012,0.0004,100.0,642.34,1585.19,1398.95,555.03,2387.99
2,139,-0.0003,0.0005,100.0,642.63,1590.88,1400.87,554.24,2388.06
2,140,0.0014,-1e-04,100.0,642.29,1593.7,1403.14,554.86,2388.09
2,141,0.0019,0.0003,100.0,642.07,1585.09,1403.25,554.7,2388.05
2,142,-0.0007,0.0004,100.0,641.91,1586.41,1401.27,554.18,2388.08
